Hilos	Iteracion	Tiempo(s)	Pi	Error
1	1	6.61803029400000042415	3.14159265358983885719	0.00000000000004574119
1	2	6.66251126800000026407	3.14159265358983885719	0.00000000000004574119
1	3	7.99722784300000011370	3.14159265358983885719	0.00000000000004574119
1	4	7.17592745500000006587	3.14159265358983885719	0.00000000000004574119
1	5	7.06353390299999972513	3.14159265358983885719	0.00000000000004574119
1	6	6.47694743400000039202	3.14159265358983885719	0.00000000000004574119
1	7	7.40775115699999986418	3.14159265358983885719	0.00000000000004574119
1	8	7.05281218899999995386	3.14159265358983885719	0.00000000000004574119
1	9	6.59870759100000014996	3.14159265358983885719	0.00000000000004574119
1	10	7.47381471300000033153	3.14159265358983885719	0.00000000000004574119
1	11	7.14150893800000030609	3.14159265358983885719	0.00000000000004574119
1	12	8.47366224299999970526	3.14159265358983885719	0.00000000000004574119
1	13	8.09287528800000011131	3.14159265358983885719	0.00000000000004574119
1	14	8.22311286200000068902	3.14159265358983885719	0.00000000000004574119
1	15	7.56450198699999987184	3.14159265358983885719	0.00000000000004574119
1	16	8.90547098899999944877	3.14159265358983885719	0.00000000000004574119
1	17	7.67500701700000043104	3.14159265358983885719	0.00000000000004574119
1	18	6.95051141799999960824	3.14159265358983885719	0.00000000000004574119
1	19	6.99973834599999999995	3.14159265358983885719	0.00000000000004574119
1	20	7.12821254600000031587	3.14159265358983885719	0.00000000000004574119
1	21	7.01223994500000014085	3.14159265358983885719	0.00000000000004574119
1	22	7.04974885699999997968	3.14159265358983885719	0.00000000000004574119
1	23	6.50732754599999996259	3.14159265358983885719	0.00000000000004574119
1	24	7.05772433699999979240	3.14159265358983885719	0.00000000000004574119
1	25	7.01546248000000005618	3.14159265358983885719	0.00000000000004574119
1	26	7.03748368199999951855	3.14159265358983885719	0.00000000000004574119
1	27	7.20903935299999965025	3.14159265358983885719	0.00000000000004574119
1	28	6.47805893099999963169	3.14159265358983885719	0.00000000000004574119
1	29	7.59938522299999963394	3.14159265358983885719	0.00000000000004574119
1	30	7.36163524000000002445	3.14159265358983885719	0.00000000000004574119
2	1	4.48133121700000014442	3.14159265358966166559	0.00000000000013145041
2	2	3.26307672499999990023	3.14159265358966166559	0.00000000000013145041
2	3	4.68106961400000010087	3.14159265358966166559	0.00000000000013145041
2	4	3.74906163200000008828	3.14159265358966166559	0.00000000000013145041
2	5	3.52965172999999987624	3.14159265358966166559	0.00000000000013145041
2	6	4.63146482299999995291	3.14159265358966166559	0.00000000000013145041
2	7	4.23749020099999995637	3.14159265358966166559	0.00000000000013145041
2	8	3.91606606200000006979	3.14159265358966166559	0.00000000000013145041
2	9	3.32109166999999994019	3.14159265358966166559	0.00000000000013145041
2	10	3.25091687000000018060	3.14159265358966166559	0.00000000000013145041
2	11	3.31183100400000007824	3.14159265358966166559	0.00000000000013145041
2	12	3.42336135899999982612	3.14159265358966166559	0.00000000000013145041
2	13	3.32096398500000011822	3.14159265358966166559	0.00000000000013145041
2	14	3.76567128499999981273	3.14159265358966166559	0.00000000000013145041
2	15	3.27070824199999998783	3.14159265358966166559	0.00000000000013145041
2	16	4.19467540499999991255	3.14159265358966166559	0.00000000000013145041
2	17	3.36428278200000008269	3.14159265358966166559	0.00000000000013145041
2	18	3.41225154299999999807	3.14159265358966166559	0.00000000000013145041
2	19	3.63967761500000008823	3.14159265358966166559	0.00000000000013145041
2	20	3.27554638799999997545	3.14159265358966166559	0.00000000000013145041
2	21	3.61993102199999983171	3.14159265358966166559	0.00000000000013145041
2	22	3.54168805399999975236	3.14159265358966166559	0.00000000000013145041
2	23	3.34598915300000010475	3.14159265358966166559	0.00000000000013145041
2	24	3.33066837699999984679	3.14159265358966166559	0.00000000000013145041
2	25	3.33217127800000012527	3.14159265358966166559	0.00000000000013145041
2	26	3.38785816600000000420	3.14159265358966166559	0.00000000000013145041
2	27	3.28778787999999977387	3.14159265358966166559	0.00000000000013145041
2	28	3.77981955899999988446	3.14159265358966166559	0.00000000000013145041
2	29	3.34092841699999976157	3.14159265358966166559	0.00000000000013145041
2	30	3.24258230000000002846	3.14159265358966166559	0.00000000000013145041
4	1	1.98548994200000006316	3.14159265358983930128	0.00000000000004618528
4	2	1.71566672600000003079	3.14159265358983930128	0.00000000000004618528
4	3	1.74594572499999989290	3.14159265358983930128	0.00000000000004618528
4	4	1.76493450800000006851	3.14159265358983930128	0.00000000000004618528
4	5	2.09601385300000009337	3.14159265358983930128	0.00000000000004618528
4	6	3.57703422300000006828	3.14159265358983930128	0.00000000000004618528
4	7	2.13335293600000008851	3.14159265358983930128	0.00000000000004618528
4	8	1.80806470800000007593	3.14159265358983930128	0.00000000000004618528
4	9	2.28068548199999998616	3.14159265358983930128	0.00000000000004618528
4	10	1.69933318499999996831	3.14159265358983930128	0.00000000000004618528
4	11	3.54063328599999982416	3.14159265358983930128	0.00000000000004618528
4	12	1.84724430500000003086	3.14159265358983930128	0.00000000000004618528
4	13	1.82364750499999983546	3.14159265358983930128	0.00000000000004618528
4	14	2.22235221800000015691	3.14159265358983930128	0.00000000000004618528
4	15	3.81725886399999980725	3.14159265358983930128	0.00000000000004618528
4	16	1.89817053800000001829	3.14159265358983930128	0.00000000000004618528
4	17	2.11469464799999995464	3.14159265358983930128	0.00000000000004618528
4	18	1.96888598000000003552	3.14159265358983930128	0.00000000000004618528
4	19	1.99842837399999995185	3.14159265358983930128	0.00000000000004618528
4	20	3.41983163499999998081	3.14159265358983930128	0.00000000000004618528
4	21	1.74527161200000002772	3.14159265358983930128	0.00000000000004618528
4	22	1.88796058299999991448	3.14159265358983930128	0.00000000000004618528
4	23	2.20799404399999987803	3.14159265358983930128	0.00000000000004618528
4	24	1.94633293300000009829	3.14159265358983930128	0.00000000000004618528
4	25	4.08122724399999992073	3.14159265358983930128	0.00000000000004618528
4	26	1.77217224100000003695	3.14159265358983930128	0.00000000000004618528
4	27	4.04484202400000025790	3.14159265358983930128	0.00000000000004618528
4	28	2.52966713700000012111	3.14159265358983930128	0.00000000000004618528
4	29	2.24907839500000017452	3.14159265358983930128	0.00000000000004618528
4	30	1.76257591399999991033	3.14159265358983930128	0.00000000000004618528
8	1	1.73481339499999998033	3.14159265358979444827	0.00000000000000133227
8	2	2.14525115100000007828	3.14159265358979444827	0.00000000000000133227
8	3	1.72419029400000001218	3.14159265358979444827	0.00000000000000133227
8	4	3.13602391700000016073	3.14159265358979444827	0.00000000000000133227
8	5	2.59350861300000001819	3.14159265358979444827	0.00000000000000133227
8	6	2.29424287500000012585	3.14159265358979444827	0.00000000000000133227
8	7	2.33975982400000015460	3.14159265358979444827	0.00000000000000133227
8	8	1.88211206300000011282	3.14159265358979444827	0.00000000000000133227
8	9	1.80463615899999996195	3.14159265358979444827	0.00000000000000133227
8	10	1.76202106599999996916	3.14159265358979444827	0.00000000000000133227
8	11	1.98477357699999990004	3.14159265358979444827	0.00000000000000133227
8	12	2.09851397300000019897	3.14159265358979444827	0.00000000000000133227
8	13	2.76658245299999983047	3.14159265358979444827	0.00000000000000133227
8	14	1.98096847599999992262	3.14159265358979444827	0.00000000000000133227
8	15	2.27730034699999972503	3.14159265358979444827	0.00000000000000133227
8	16	2.26715521399999975216	3.14159265358979444827	0.00000000000000133227
8	17	1.88800255299999997227	3.14159265358979444827	0.00000000000000133227
8	18	2.69933201499999997353	3.14159265358979444827	0.00000000000000133227
8	19	2.45094411100000009185	3.14159265358979444827	0.00000000000000133227
8	20	2.32364981700000017284	3.14159265358979444827	0.00000000000000133227
8	21	1.96264498299999989861	3.14159265358979444827	0.00000000000000133227
8	22	2.05107713300000016332	3.14159265358979444827	0.00000000000000133227
8	23	3.14276312199999985353	3.14159265358979444827	0.00000000000000133227
8	24	2.95176047499999993917	3.14159265358979444827	0.00000000000000133227
8	25	2.53014285999999977150	3.14159265358979444827	0.00000000000000133227
8	26	2.91803819200000003065	3.14159265358979444827	0.00000000000000133227
8	27	2.25420938900000011884	3.14159265358979444827	0.00000000000000133227
8	28	1.83661326399999991210	3.14159265358979444827	0.00000000000000133227
8	29	2.55851803600000016203	3.14159265358979444827	0.00000000000000133227
8	30	2.65294295200000007640	3.14159265358979444827	0.00000000000000133227
16	1	1.89098766299999998530	3.14159265358968831094	0.00000000000010480505
16	2	1.70706310999999999467	3.14159265358968831094	0.00000000000010480505
16	3	1.92618203800000009629	3.14159265358968831094	0.00000000000010480505
16	4	1.75209824100000011171	3.14159265358968831094	0.00000000000010480505
16	5	1.90194430199999997555	3.14159265358968831094	0.00000000000010480505
16	6	2.57847453400000015122	3.14159265358968831094	0.00000000000010480505
16	7	1.98032184100000008264	3.14159265358968831094	0.00000000000010480505
16	8	2.38010243100000007388	3.14159265358968831094	0.00000000000010480505
16	9	1.83497623599999992727	3.14159265358968831094	0.00000000000010480505
16	10	1.77215703300000004816	3.14159265358968831094	0.00000000000010480505
16	11	2.01926395499999999927	3.14159265358968831094	0.00000000000010480505
16	12	2.26454713899999982019	3.14159265358968831094	0.00000000000010480505
16	13	1.85019234499999996046	3.14159265358968831094	0.00000000000010480505
16	14	2.28412716699999984726	3.14159265358968831094	0.00000000000010480505
16	15	2.65043722099999978781	3.14159265358968831094	0.00000000000010480505
16	16	2.40606724999999999071	3.14159265358968831094	0.00000000000010480505
16	17	1.95422742699999996141	3.14159265358968831094	0.00000000000010480505
16	18	2.06676831399999993977	3.14159265358968831094	0.00000000000010480505
16	19	2.95330051600000009770	3.14159265358968831094	0.00000000000010480505
16	20	2.01333643099999992643	3.14159265358968831094	0.00000000000010480505
16	21	2.67418841199999990366	3.14159265358968831094	0.00000000000010480505
